# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.683783109805e+03 3.464133461722e+00 1.470662583594e-18)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.732066730861e+00 8.418915549023e+02 -4.374993430802e+00))
0.005               	((1.535225621068e+05 -1.933407973941e+02 -1.053874427132e-15) (1.789981785452e+03 5.688763653973e+00 -1.725723723764e-15)) ((9.667039869704e+01 7.676128105338e+04 -4.969310881009e-06) (-2.844381826986e+00 8.949908927260e+02 -1.246671376071e+01))
0.01                	((1.838351933852e+03 1.582685217822e+02 1.033933117742e-16) (1.619233728004e+03 5.523231094245e-01 -2.556094157400e-17)) ((-7.913426089108e+01 9.191759669262e+02 1.729697109987e-07) (-2.761615547123e-01 8.096168640018e+02 -1.029471956927e+01))
0.015               	((1.722615178238e+03 -1.203024506564e+01 4.881966386657e-17) (1.480550341503e+03 -1.038781581259e+00 -2.358240307619e-17)) ((6.015122532822e+00 8.613075891191e+02 -4.793235743872e-07) (5.193907906296e-01 7.402751707516e+02 -9.262346696421e+00))
0.02                	((1.421579067565e+03 8.557800382188e-01 6.425235666253e-17) (1.366993312769e+03 -1.563011927585e+00 -2.035945282750e-17)) ((-4.278900191094e-01 7.107895337827e+02 -4.018033481490e-07) (7.815059637927e-01 6.834966563843e+02 -8.725139415164e+00))
0.025               	((1.260048028604e+03 -5.356166392193e+00 7.348706581697e-17) (1.271983701164e+03 -1.643202991240e+00 -2.346132827693e-17)) ((2.678083196096e+00 6.300240143022e+02 -3.195678043022e-07) (8.216014956199e-01 6.359918505822e+02 -7.776569775045e+00))
0.03                	((1.145894973370e+03 -9.532046311809e+00 7.968336933558e-17) (1.191910492521e+03 -1.670045443146e+00 -2.568153844582e-17)) ((4.766023155905e+00 5.729474866850e+02 -2.822280366077e-07) (8.350227215729e-01 5.959552462605e+02 -6.809489752687e+00))
0.035               	((1.055121742868e+03 -1.131941643229e+01 8.443350093260e-17) (1.123482122004e+03 -2.132701656953e+00 -3.024069026282e-17)) ((5.659708216145e+00 5.275608714340e+02 -2.606543095807e-07) (1.066350828476e+00 5.617410610021e+02 -5.775168545614e+00))
0.04                	((9.824651363696e+02 -1.473082956210e+01 8.770347553534e-17) (1.065064594306e+03 -2.455882903869e+00 -3.363685683690e-17)) ((7.365414781051e+00 4.912325681848e+02 -2.183568402203e-07) (1.227941451934e+00 5.325322971530e+02 -4.983453865373e+00))
0.045               	((9.231248635674e+02 -1.626900731151e+01 8.945229396789e-17) (1.014988074448e+03 -2.781239971898e+00 -3.478749835245e-17)) ((8.134503655756e+00 4.615624317837e+02 -1.500244415364e-07) (1.390619985949e+00 5.074940372242e+02 -4.138978942718e+00))
0.05                	((8.730320469066e+02 -1.647481100775e+01 9.053484332974e-17) (9.713085608793e+02 -3.039259683679e+00 -3.540773301829e-17)) ((8.237405503873e+00 4.365160234533e+02 -8.994842756738e-08) (1.519629841839e+00 4.856542804397e+02 -3.365913760421e+00))
0.055               	((8.308208865057e+02 -1.635072390593e+01 9.136351641344e-17) (9.328084185539e+02 -3.094417725789e+00 -3.530717473396e-17)) ((8.175361952965e+00 4.154104432529e+02 -8.720867472611e-09) (1.547208862894e+00 4.664042092770e+02 -2.705772400307e+00))
0.06                	((7.947371911119e+02 -1.513420257902e+01 9.181080484764e-17) (8.986126819766e+02 -2.762168439938e+00 -3.434231557593e-17)) ((7.567101289509e+00 3.973685955559e+02 8.422444774947e-08) (1.381084219969e+00 4.493063409883e+02 -2.313853525636e+00))
0.065               	((7.630202496627e+02 -1.402456255793e+01 9.124092564555e-17) (8.680846431698e+02 -2.345454839960e+00 -3.277698223801e-17)) ((7.012281278963e+00 3.815101248313e+02 2.114598348646e-07) (1.172727419980e+00 4.340423215849e+02 -1.919363939738e+00))
0.07                	((7.356653311385e+02 -1.396321384817e+01 9.166917093534e-17) (8.405828416433e+02 -1.842857922342e+00 -3.146265718611e-17)) ((6.981606924087e+00 3.678326655692e+02 2.728987513467e-07) (9.214289611708e-01 4.202914208217e+02 -1.638577940173e+00))
