# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.683783109805e+03 3.464133461722e+00 1.470662583594e-18)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-1.732066730861e+00 8.418915549023e+02 -4.374993430802e+00))
0.005               	((1.558316386742e+05 -3.108713223421e+05 6.441533957111e-15) (1.769158801704e+03 -3.471347400822e+03 -1.610191266438e-12)) ((1.554356611711e+05 7.791581933710e+04 -1.558316408028e+03) (1.735673700411e+03 8.845794008518e+02 -3.846243006908e+01))
0.01                	((1.322543250393e+03 3.017496033198e+05 -3.679587600759e-16) (1.559780683622e+03 3.752504389692e+02 -9.566883364359e-16)) ((-1.508748016599e+05 6.612716251965e+02 -1.322541914568e+01) (-1.876252194846e+02 7.798903418112e+02 -2.364108080425e+01))
0.015               	((1.987293642880e+03 1.295393570414e+03 -4.941068016976e-18) (1.425494512824e+03 3.072146917144e+02 4.453519170436e-17)) ((-6.476967852071e+02 9.936468214401e+02 -1.987293707959e+01) (-1.536073458572e+02 7.127472564118e+02 -2.311874334815e+01))
0.02                	((1.466027744600e+03 5.468603727717e+02 1.855197077842e-16) (1.316357777822e+03 2.551989657354e+02 5.031214625437e-17)) ((-2.734301863859e+02 7.330138723002e+02 -1.466027753995e+01) (-1.275994828677e+02 6.581788889110e+02 -2.052925981715e+01))
0.025               	((1.300830294361e+03 3.140496949416e+02 1.896961162034e-16) (1.226840916916e+03 2.151315441492e+02 -4.144619900244e-17)) ((-1.570248474708e+02 6.504151471807e+02 -1.300830320339e+01) (-1.075657720746e+02 6.134204584582e+02 -1.710372719403e+01))
0.03                	((1.157308999599e+03 2.456232436120e+02 1.876752089516e-16) (1.150672064205e+03 1.851614274742e+02 8.546001935458e-18)) ((-1.228116218060e+02 5.786544997996e+02 -1.157309031870e+01) (-9.258071373712e+01 5.753360321026e+02 -1.414873957723e+01))
0.035               	((1.048213925928e+03 1.927913880144e+02 1.816321255123e-16) (1.085646117958e+03 1.623177474010e+02 1.163274919638e-17)) ((-9.639569400718e+01 5.241069629640e+02 -1.048213950969e+01) (-8.115887370052e+01 5.428230589791e+02 -1.164333037893e+01))
0.04                	((9.663371405084e+02 1.532976084485e+02 1.797754466970e-16) (1.030495163469e+03 1.440768623960e+02 9.058996385833e-18)) ((-7.664880422427e+01 4.831685702542e+02 -9.663371704773e+00) (-7.203843119798e+01 5.152475817346e+02 -9.857450825838e+00))
0.045               	((9.042300335489e+02 1.231583308576e+02 1.758142617876e-16) (9.832613102692e+02 1.291914268061e+02 -3.007220483389e-17)) ((-6.157916542878e+01 4.521150167745e+02 -9.042300567729e+00) (-6.459571340304e+01 4.916306551346e+02 -8.132484262058e+00))
